model_type,k,precision@k,recall@k,hit_ratio,ndcg@k,users_evaluated
hybrid,10,0.01158671182556533,0.008794856048860562,0.09766454352441614,0.056992112208478905,942
neumf,10,0.01158671182556533,0.008794856048860562,0.09766454352441614,0.06528662914402303,942
hybrid,20,0.012352637868428327,0.0174875645494353,0.1932059447983015,0.08076553119218152,942
neumf,20,0.012352637868428327,0.0174875645494353,0.1932059447983015,0.09068204981320356,942
hybrid,50,0.009636119046549199,0.034816828557483435,0.32908704883227174,0.1116366793856292,942
neumf,50,0.009636119046549199,0.034816828557483435,0.32908704883227174,0.11633481391424189,942
