model_type,k,precision@k,recall@k,hit_ratio,ndcg@k,users_evaluated
hybrid,10,0.04833223806153742,0.033605264984403985,0.2770700636942675,0.15442870739767217,942
neumf,10,0.04648375627674991,0.03335350415608251,0.26963906581740976,0.14526636785831154,942
hybrid,20,0.04770961018656292,0.06084335996615108,0.4575371549893843,0.2208078875705666,942
neumf,20,0.04682839106238369,0.061955060104786616,0.4596602972399151,0.20063040252216813,942
hybrid,50,0.044411371239595904,0.1476193482114623,0.7452229299363057,0.27272491536888427,942
neumf,50,0.044129187309366893,0.14864943329841243,0.7430997876857749,0.26459506442748354,942
