model_type,k,precision@k,recall@k,hit_ratio,ndcg@k,users_evaluated
hybrid,10,0.05869206349206349,0.019728496730569964,0.251,0.1635855651992341,1000
neumf,10,0.05814880952380952,0.021840110778197613,0.268,0.16765544701120677,1000
hybrid,20,0.058713587143850304,0.045247319890314726,0.46,0.24621197189388344,1000
neumf,20,0.05234802561129961,0.03874366442931445,0.42,0.20782336629810821,1000
hybrid,50,0.04379060722091186,0.08878305554102973,0.662,0.2912402080423126,1000
neumf,50,0.044832687558794236,0.08570431064549026,0.635,0.25536310218772684,1000
