model_type,k,precision@k,recall@k,hit_ratio,ndcg@k,users_evaluated
hybrid,5,0.016,0.007277777777777777,0.07,0.04307891873411442,100
neumf,5,0.0125,0.007492063492063492,0.06,0.055,100
rule,5,0.017,0.0008664081017022193,0.03,0.030600677015827457,100
knn,5,0.004,0.0006719367588932806,0.02,0.010616063116448502,100
hybrid,10,0.01390079365079365,0.011508313466593314,0.11,0.055316847282727635,100
neumf,10,0.01774206349206349,0.01270361398147776,0.13,0.0781828190455178,100
rule,10,0.019623015873015872,0.012937762211945895,0.14,0.09056119974166357,100
knn,10,0.005361111111111111,0.0038120300751879697,0.05,0.02247424626021167,100
