model_type,k,precision@k,recall@k,hit_ratio,ndcg@k,users_evaluated
hybrid,10,0.04968154761904761,0.021031535550718416,0.252,0.16604417065544116,2000
neumf,10,0.05171686507936508,0.019637667582407273,0.248,0.14733285528734155,2000
hybrid,20,0.04899395285227328,0.03816556447035477,0.394,0.21989053215317667,2000
neumf,20,0.04579688350864821,0.03708701537647143,0.397,0.18695102550710158,2000
hybrid,50,0.03878121810204442,0.07593344055880258,0.618,0.2847642183029012,2000
neumf,50,0.036931559360488225,0.07688649112972694,0.606,0.23291541253122444,2000
